,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.tempSuspendedSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.isETFSec,meta.isDelisted,meta.isin
52,DSPN50ETF,Nifty 50 Index,162,162.5,161.75,162.5,1.47,0.91,13796,2233986.28,,184,154,-,-,Infinity,-2.909720977475058,161.03,11.684782608695652,-5.51948051948052,https://static.nseindia.com/sparklines/today/DSPN50ETFEQN.jpg,-,-,-,06-Jun-2022,-3.79,https://static.nseindia.com/sparklines/30d/DSPN50ETF-EQ.jpg,DSPN50ETF,DSP  Mutual Fund - DSP Nifty 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF740KA1CL0
53,HDFCNIFETF,Nifty 50,173.8,174,172.5,173.84,1.56,0.91,57202,9929695.18,,230,163.88,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 761.25/- PER UNIT TO RS 76.125/- PER UNIT,2.9979855433108202,-2.556053811659194,172.28,24.417391304347827,-6.077617769099346,https://static.nseindia.com/sparklines/today/HDFCNIFETFEQN.jpg,2.07,06-Jul-2021,https://static.nseindia.com/sparklines/365d/HDFCNIFETF-EQ.jpg,06-Jun-2022,-3.43,https://static.nseindia.com/sparklines/30d/HDFCNIFETF-EQ.jpg,HDFCNIFETF,HDFC Mutual Fund - HDFC Nifty ETF ,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF179KC1965
54,ICICINIFTY,Nifty 50,175,175,173.4,174.97,1.57,0.91,377341,65702614.92,,231.3,157.5,28-APR-16, DIVIDEND-RS.2.20 PER UNIT,3.40405413391643,-2.1858228980321983,173.4,24.353653264159103,-11.092063492063492,https://static.nseindia.com/sparklines/today/ICICINIFTYEQN.jpg,2.48,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICINIFTY-EQ.jpg,06-Jun-2022,-3.06,https://static.nseindia.com/sparklines/30d/ICICINIFTY-EQ.jpg,ICICINIFTY,ICICI Prudential Nifty 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109K012R6
55,ICICINF100,Nifty 100,178.48,178.49,177.4,177.6,1.57,0.89,6178,1099992.9,,208,160.7,-,-,1.9517795637198656,-2.47652517709078,176.03,14.615384615384617,-10.516490354698199,https://static.nseindia.com/sparklines/today/ICICINF100EQN.jpg,1.05,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICINF100-EQ.jpg,06-Jun-2022,-3.34,https://static.nseindia.com/sparklines/30d/ICICINF100-EQ.jpg,ICICINF100,ICICI Prudential Nifty 100 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KA1962
56,SETFNIF50,Nifty 50,166.4,166.9,165.05,166.25,1.47,0.89,208271,34520918.25,,196.54,150.4,24-MAR-21, DIVIDEND - RS 1.30 PER SHARE,3.2865308151093386,-2.292095210108731,164.78,15.411621044062274,-10.53856382978723,https://static.nseindia.com/sparklines/today/SETFNIF50EQN.jpg,2.37,06-Jul-2021,https://static.nseindia.com/sparklines/365d/SETFNIF50-EQ.jpg,06-Jun-2022,-3.16,https://static.nseindia.com/sparklines/30d/SETFNIF50-EQ.jpg,SETFNIF50,SBI-ETF Nifty 50,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF200KA1FS1
57,NIFTYBEES,Nifty 50,175.35,175.7,174.4,175.65,1.53,0.88,4128319,723198922.42,,223,135.51,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,3.2203091026620547,-2.497918401332223,174.12,21.233183856502237,-29.621430152756265,https://static.nseindia.com/sparklines/today/NIFTYBEESEQN.jpg,2.32,06-Jul-2021,https://static.nseindia.com/sparklines/365d/NIFTYBEES-EQ.jpg,06-Jun-2022,-3.35,https://static.nseindia.com/sparklines/30d/NIFTYBEES-EQ.jpg,NIFTYBEES,NIPPON INDIA ETF NIFTY BEES,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF204KB14I2
58,ICICIALPLV,Nifty Alpha Low-Volatility 30 Index,158.45,158.49,155.2,157.69,1.36,0.87,13299,2100710.04,,197.6,147.3,-,-,-0.8301364694044358,0.08886067914946769,156.33,20.19736842105263,-7.053632043448734,https://static.nseindia.com/sparklines/today/ICICIALPLVEQN.jpg,-1.69,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICIALPLV-EQ.jpg,06-Jun-2022,-0.77,https://static.nseindia.com/sparklines/30d/ICICIALPLV-EQ.jpg,ICICIALPLV,ICICI Prudential Nifty Alpha Low Volatility 30 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KC1N59
59,NETF,Nifty 50,169.85,169.96,163.06,167.95,1.45,0.87,461,77254.38,,222.68,157.66,-,-,-13.561502830674225,-2.320576945446091,166.5,24.577869588647395,-6.526703031840664,https://static.nseindia.com/sparklines/today/NETFEQN.jpg,-14.31,06-Jul-2021,https://static.nseindia.com/sparklines/365d/NETF-EQ.jpg,06-Jun-2022,-3.16,https://static.nseindia.com/sparklines/30d/NETF-EQ.jpg,NETF,Tata Nifty Exchange Traded Fund,,['EQ'],[],[],False,False,True,False,False,True,False,INF277K015R5
60,MON100,Nasdaq100,94.9,94.9,91.62,92.71,0.79,0.86,409536,37906652.16,,138.6,87.45,17-JUN-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-14.260612226024232,-7.961878288494003,91.92,33.109668109668114,-6.014865637507136,https://static.nseindia.com/sparklines/today/MON100EQN.jpg,-14.99,06-Jul-2021,https://static.nseindia.com/sparklines/365d/MON100-EQ.jpg,06-Jun-2022,-8.75,https://static.nseindia.com/sparklines/30d/MON100-EQ.jpg,MON100,Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF247L01AP3
61,UTINIFTETF,Nifty 50,1615,1711.22,1615,1709.21,13.87,0.82,3055,5217329,,2240,1600,23-FEB-21, INTERIM DIVIDEND - RS 40.84 PER SHARE,2.911142420191957,-2.5447019112347697,1695.34,23.695982142857144,-6.825625000000002,https://static.nseindia.com/sparklines/today/UTINIFTETFEQN.jpg,2.08,06-Jul-2021,https://static.nseindia.com/sparklines/365d/UTINIFTETF-EQ.jpg,06-Jun-2022,-3.34,https://static.nseindia.com/sparklines/30d/UTINIFTETF-EQ.jpg,UTINIFTETF,UTI Nifty 50 ETF,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF789FB1X41
